xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi,pass2_xs,n_valid_periods,ref_value,ref_stat,s_obs,s_stat,s_comb,s_obs_percent,s_stat_percent,s_comb_percent,min_ratio,max_ratio,half_width
0.062,0.09,1,1.2,0.6,0.8,270,0.1237142229,2,0.124562239553,0.0128394116924,0.179039809969,0.170942682512,0.0532339445214,17.9039809969,17.0942682512,5.32339445214,0.758413982509,1.07580701327,0.15869651538
0.062,0.09,1,1.2,0.6,0.8,315,0.5131426802,2,0.510282553095,0.0217455465265,0.271501471492,0.0677445875138,0.262913902038,27.1501471492,6.77445875138,26.2913902038,0.640243913531,1.13417025115,0.246963168809
0.062,0.09,1,1.2,0.6,0.8,337.5,1.112582544,2,1.13616054286,0.0444804397254,0.177877095302,0.0703170439863,0.163388415618,17.7877095302,7.03170439863,16.3388415618,0.755238818925,1.05807311172,0.151417146398
0.062,0.09,1,1.2,0.6,0.8,352.5,3.55563485,2,3.49272453066,0.227750161092,0.10707879564,0.126272615714,0,10.707879564,12.6272615714,0,0.9719830325,1.14881796425,0.0884174658748
0.062,0.09,1.2,1.456,0.15,0.25,120,1.363345754,2,1.37406336345,0.148605319389,0.048029702535,0.207395588813,0,4.8029702535,20.7395588813,0,0.933315935142,1.01292053192,0.0398022983909
0.062,0.09,1.2,1.456,0.15,0.25,142.5,1.249578712,2,1.25073232672,0.129856413392,0.00924106290309,0.182785250025,0,0.924106290309,18.2785250025,0,0.987331738865,1.0032108639,0.00793956251695
0.062,0.09,1.2,1.456,0.15,0.25,157.5,1.14434025,2,1.14852584466,0.115272072821,0.0640830889232,0.169178593634,0,6.40830889232,16.9178593634,0,0.913081019355,1.02565882646,0.0562889035544
0.062,0.09,1.2,1.456,0.15,0.25,180,1.251531274,2,1.26673997827,0.106409685783,0.146790684035,0.145042119336,0.0225895670193,14.6790684035,14.5042119336,2.25895670193,0.799627826845,1.05427708599,0.127324629574
0.062,0.09,1.2,1.456,0.25,0.4,120,0.5517933225,1,0,0,0,0,0,0,0,0,0,0,0
0.062,0.09,1.2,1.456,0.25,0.4,142.5,0.4985511466,2,0.473781610177,0.0550135376949,0.297487558342,0.227854159567,0.191262461911,29.7487558342,22.7854159567,19.1262461911,0.925006156605,1.41397296794,0.24448340567
0.062,0.09,1.2,1.456,0.25,0.4,157.5,0.3427431433,2,0.426041483394,0.05129490278,0.544470697649,0.925738387193,0,54.4470697649,92.5738387193,0,0.230030651709,1.00662449155,0.38829691992
0.062,0.09,1.2,1.456,0.25,0.4,180,0.472282199,2,0.458026812532,0.0414171982405,0.264234154071,0.136759642567,0.226089558234,26.4234154071,13.6759642567,22.6089558234,0.662671736229,1.16077630054,0.249052282156
0.062,0.09,1.2,1.456,0.25,0.4,255,0.6053316807,2,0.600129865467,0.0672258199181,0.0515834660002,0.216857620235,0,5.15834660002,21.6857620235,0,0.986491764643,1.07168846146,0.0425983484093
0.062,0.09,1.2,1.456,0.4,0.6,37.5,1.349161519,2,1.35817229882,0.0664472925993,0.0487307436097,0.0901575741048,0,4.87307436097,9.01575741048,0,0.932675075986,1.01472159475,0.0410232593822
0.062,0.09,1.2,1.456,0.4,0.6,52.5,0.892805904,2,0.900334782314,0.0504541288189,0.107586591107,0.0963602606238,0.0478495011327,10.7586591107,9.63602606238,4.78495011327,0.853289367235,1.0403204589,0.0935155458324
